"label","index","nr_pix","rows_with_2","cols_with_2","rows_with_3p","cols_with_3p","height","width","left2tile","right2tile","verticalness","top2tile","bottom2tile","horizontalness","diagonalness"
"three","5",46,4,0,6,11,15,11,6,3,0.195652173913043,22,22,0.956521739130435,7
"three","6",64,5,0,7,14,20,15,7,4,0.171875,29,29,0.90625,11
"three","7",44,7,0,4,11,15,12,6,2,0.181818181818182,21,21,0.954545454545455,9
"three","8",44,4,0,6,10,16,11,7,4,0.25,21,21,0.954545454545455,4
"two","1",62,7,0,7,14,20,18,9,7,0.258064516129032,24,24,0.774193548387097,15
"two","2",50,7,3,3,11,21,16,10,9,0.38,22,22,0.88,8
"two","3",53,2,2,5,11,20,18,9,8,0.320754716981132,26,26,0.981132075471698,8
"two","4",53,6,2,3,11,20,18,9,8,0.320754716981132,23,23,0.867924528301887,10
"two","5",55,6,2,5,12,19,18,10,10,0.363636363636364,24,24,0.872727272727273,8
"two","6",57,6,3,5,13,18,20,9,11,0.350877192982456,26,26,0.912280701754386,10
"two","7",58,6,4,6,12,18,17,9,8,0.293103448275862,23,23,0.793103448275862,12
"two","8",55,7,2,5,12,19,17,9,11,0.363636363636364,22,22,0.8,9
